,College Name
FALSE,"Maulana Azad National Institute of Technology, Bhopal"
FALSE,"Birla Institute of Technology, Mesra"
FALSE,"National Institute of Technology, Durgapur"
FALSE,"Indian Institute of Engineering Science and Technology, Shibpur"
FALSE,"National Institute of Technology, Rourkela"
FALSE,"Sardar Vallabhbhai National Institute of Technology, Surat"
FALSE,"National Institute of Technology, Kurukshetra"
FALSE,"Christ University, Bangalore"
FALSE,"Symbiosis International University, Pune"
FALSE,"PSG College of Technology, Coimbatore"
FALSE,"MS Ramaiah Institute of Technology, Bangalore"
FALSE,"Institute of Chemical Technology, Mumbai"
FALSE,"Indian Institute of Technology, Indore"
FALSE,"Aligarh Muslim University, Aligarh"
FALSE,"Jamia Hamdard, New Delhi"
FALSE,"National Institute of Industrial Engineering, Mumbai"
FALSE,"Savitribai Phule Pune University, Pune"
FALSE,"Indian Institute of Information Technology, Allahabad"
FALSE,"Malaviya National Institute of Technology, Jaipur"
FALSE,"Indian Institute of Technology, Gandhinagar"
FALSE,"National Institute of Technology, Raipur"
FALSE,"Jamia Millia Islamia, New Delhi"
FALSE,"SASTRA University, Thanjavur"
FALSE,"Shri Govindram Seksaria Institute of Technology and Science, Indore"
FALSE,"National Institute of Technology, Agartala"
FALSE,"University of Hyderabad, Hyderabad"
FALSE,"Dr B R Ambedkar National Institute of Technology, Jalandhar"
FALSE,"National Institute of Technology, Srinagar"
FALSE,"National Institute of Technology, Jamshedpur"
FALSE,"Anna University, Chennai"
FALSE,"Indian Institute of Technology, Jodhpur"
FALSE,"National Institute of Technology, Hamirpur"
FALSE,"JNTUH College of Engineering, Hyderabad"
FALSE,"National Institute of Technology, Uttarakhand"
FALSE,"Indian Institute of Technology, Bhubaneswar"
FALSE,"PES Institute of Technology, Bangalore South Campus, Bangalore"
FALSE,"Harcourt Butler Technological Institute, Kanpur"
FALSE,"National Institute of Technology, Arunachal Pradesh"
FALSE,"YMCA University of Science and Technology, Faridabad"
FALSE,"Sant Longowal Institute of Engineering and Technology, Longowal"
FALSE,"Tata Institute of Fundamental Research, Mumbai"
FALSE,"Karunya University, Coimbatore"
FALSE,"Indian Institute of Technology, Mandi"
FALSE,"Panjab University, Chandigarh"
FALSE,"AU College of Engineering, Vishakhapatnam"
FALSE,"Chhatrapati Shahu ji Maharaj University, Kanpur"
FALSE,"College of Engineering, Trivandrum"
FALSE,"Birla Institute of Technology, Patna"
FALSE,"Chandigarh University, Chandigarh"
FALSE,"The Northcap University, Gurgaon"
FALSE,"Faculty of Engineering and Technology- Jadavpur University, North 24 Parganas"
FALSE,"Hindustan University, Kelambakkam"
FALSE,"Bangalore University, Bangalore"
FALSE,"National Institute of Technology, Manipur"
FALSE,"National Institute of Technology, Nagaland"
FALSE,"Indian Institute of Science Education and Research, Bhopal"
FALSE,"National Institute of Technology, Meghalaya"
FALSE,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal"
FALSE,"Jawaharlal Nehru Technological University, Kakinada"
FALSE,"Institute of Engineering and Technology, Indore"
FALSE,"National Institute of Technology, Mizoram"
FALSE,"Indian Institute of Technology, Tirupati"
FALSE,"Indian Agricultural Research Institute, New Delhi"
FALSE,"Guru Jambheshwar University of Science and Technology, Hisar"
FALSE,"Pondicherry Engineering College, Puducherry"
FALSE,"Indian Statistical Institute, Kolkata"
FALSE,"Tamil Nadu Agricultural University, Coimbatore"
FALSE,"Chaudhary Charan Singh Haryana Agricultural University, Hisar"
FALSE,"Bidhan Chandra Krishi Viswa Vidyalaya, Nadia"
FALSE,"Bennett University, Greater Noida"
FALSE,"University of Delhi, Delhi"
FALSE,"Amity University, Noida"
FALSE,"Graphic Era University, Dehradun"
FALSE,"Samrat Ashok Institute of Computer and Managment Studies(MCA), Chalisgaon"
FALSE,"Narsee Monjee Institute of Management Studies, Mumbai"
FALSE,"Nirma University, Ahmedabad"
FALSE,"Guru Gobind Singh Indraprastha University, Delhi"
FALSE,"RV College of Engineering, Bangalore"
FALSE,"Galgotias University, Greater Noida"
FALSE,"National Institute of Technology, Delhi"
FALSE,"Bharati Vidyapeeth, Pune"
FALSE,"Veermata Jijabai Technological Institute, Mumbai"
FALSE,"Thapar University, Patiala"
FALSE,"ABV- Indian Institute of Information Technology and Management, Gwalior"
FALSE,"Acharya Institute of Technology, Bangalore"
FALSE,"Indraprastha Institute of Information Technology, Delhi"
FALSE,"Chaitanya Bharathi Institute of Technology, Hyderabad"
FALSE,"PES University, Bangalore"
FALSE,"Jadavpur University, Kolkata"
FALSE,"Maharaja Sayajirao University of Baroda, Vadodara"
FALSE,"Maharashtra Institute of Technology, Pune"
FALSE,"Kalinga Institute of Industrial Technology, Bhubaneswar"
FALSE,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
FALSE,"Kalinga Institute of Industrial Technology, Bhubaneswar"
FALSE,"Indian Institute of Science Education and Research, Pune"
FALSE,"SSN College of Engineering, Kalavakkam"
FALSE,"BMS College of Engineering, Bangalore"
FALSE,"Banaras Hindu University, Varanasi"
FALSE,"ITM University, Gwalior"
FALSE,"Vel Tech Dr Rangrajan Dr Sakunthala Technical University, Chennai"
FALSE,"A1 Global Institute of Engineering and Technology, Prakasam"
FALSE,"Thiagarajar College of Engineering, Madurai"
FALSE,"Indian Institute of Space Science and Technology, Thiruvananthapuram"
FALSE,"Sharda University, Greater Noida"
FALSE,"Shiv Nadar University, Dadri"
FALSE,"BITS Pilani- Hyderabad Campus, Hyderabad"
FALSE,"Sinhgad College of Engineering, Pune"
FALSE,"Bharati Vidyapeeth’s College of Engineering for Women, Pune"
FALSE,"ABES Engineering College, Ghaziabad"
FALSE,"Amrita Vishwa Vidyapeetham University, Coimbatore"
FALSE,"Chitkara University, Patiala"
FALSE,"Bharati Vidyapeeth's College of Engineering, Delhi"
FALSE,"Aalim Muhammed Salegh College of Engineering, Chennai"
FALSE,"BITS Pilani, Goa Campus"
FALSE,"Ansal University, Gurgaon"
FALSE,"National Institute of Technology, Patna"
FALSE,"Dr MGR Educational and Research Institute University, Chennai"
FALSE,"SRM University, Ramapuram Campus"
FALSE,"Aakar Academy of Architecture, Bangalore"
FALSE,"Jaypee Institute of Information Technology, Noida"
FALSE,"A C S College of Engineering, Bangalore"
FALSE,"Bharath University, Chennai"
FALSE,"The LNM Institute of Information Technology, Jaipur"
FALSE,"VNR Vignana Jyothi Institute of Engineering and Technology, Hyderabad"
FALSE,"Ajay Kumar Garg Engineering College, Ghaziabad"
FALSE,"National Institute of Technology, Goa"
FALSE,"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad"
FALSE,"Kurukshetra University, Kurukshetra"
FALSE,"Heritage Institute of Technology, Kolkata"
FALSE,"Amity School of Engineering and Technology, Delhi"
FALSE,"Sathyabama University, Chennai"
FALSE,"Vels University, Chennai"
FALSE,"Uttaranchal Institute of Technology, Dehradun"
FALSE,"Poornima University, Jaipur"
FALSE,"International Institute of Information Technology, Pune"
FALSE,"Dhole Patil College of Engineering, Pune"
FALSE,"Bangalore Institute of Technology, Bangalore"
FALSE,"Nitte Meenakshi Institute of Technology, Bangalore"
FALSE,"ICFAI University, Dehradun"
FALSE,"Annamalai University, Annamalai Nagar"
FALSE,"College of Engineering, Anna University, Chennai"
FALSE,"LD College of Engineering, Ahmedabad"
FALSE,"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram"
